,type,text,Predicted_value
406,1,Gun violence which is stoked by your party. Your party is setting a great example for the youth. How to be a thug a… ,0
409,1,Does she ever shut up? She can't be serious. Here we go back to gun violence. Don't even get me started!!!,0
413,1,I just gave. Let’s get the NRA out of our government! #NRABloodMoney #backfiretrump,0
414,1,@AaronBlake Funny I expected him to be busying himself to handing out AK47's to illegals to involve himself in libe… ,0
426,1,this is disgusting. cis lives are valued over ours every single day and i’m sick of it.,0
444,1,"It's not liberals she's afraid of, it's their neighbor's that really know them and beat @RandPaul 's ass because he… ",0
453,1,@HillaryClinton is tweeting about the NR8! I’m so proud to see she is endorsing Dems who can win fighting for gun s… ,0
456,1,"""Slightly more than 38,000 people died in crashes last year, and about half were unbelted"" unbelievable numbers, 4… ",0
459,1,The @NRA @CamEdwards @NRATV we need to turn out to defeat this.,0
461,1,‘Active shooter’ call to Overland Park police was a hoax; now a man is charged - The Kansas City Star… ,0
1,1,"The bragging sex abuser @realDonaldTrump has his entitled gun carrying white men Terrified of Women's Equality"" OMG… ",0
27,1,@surreyfirst just got a call from a female who was paid to call me to tell me to vote for Tom Gill. I asked her why… ,0
30,1,How about illegals,0
36,1,@veinsinvain O que é active shooter drill?,0
75,1,They won't protect the kids yet they BAN guns at Trump's rallies or ANY other GOVT event! If they think guns are sa… ,0
86,1,just pick a fucking bathroom damn bro,0
88,1,"Yes! If you didn't flush good, hard-earned money down the toilet on Christine Blasey Ford's GoFundMe scam, then don… ",0
95,1,how about wherever it was safest for them? incase of emergency the area or gender of someone should not come into p… ,0
107,1,I hate how the gun violence debate only focuses on school safety. What about suicide? Domestic violence? Unintentio… ,0
118,1,ffs this sounds like that centrist meme in action,0
119,1,Do not blame her. We do also!,0
130,1,"@RichOverton15 @realDonaldTrump Well he says he'll stop an active shooter, why not aim high?",0
137,1,"It's Chris Murphy, along with Dems who fail to act with responsibe prevention of school gun violence. 1) Arm a few… ",0
155,1,Stafford really fucked up this time! Nice work! You suck!,0
162,1,Inspired by our @HEACS_Program scholars sharing their ideas for advocacy projects to address issues affecting patie… ,0
168,1,"@johncampea This is a false equivalence. If you are publicly for banning guns and against “gun culture”, then make… ",0
185,1,Please report this guy. He is encouraging gun violence. ,0
203,1,"A very important conversation took place last night, but I know we need more than just conversations. We need actio… ",0
208,1,"@kerrytjohnson71 Meanwhile, Trump already got a bunch of people hurt (one death) with his mouth: #Charlottesville,… ",0
219,1,@BreitbartNews Race baiter Sharpton fails to mention which neighborhoods are suffering from gun violence in Chicago… ,0
221,1,@SpencerJaret @wickz2018 @WheelmanRuss @mileslunn @Jasonphilp @ToddWheatley1 @Alzer_One @TL671 @towhey @BillBlair… ,0
233,1,I'm sorry for your loss. Gun violence destroys too many people everyday. I pray there will be an end to this sensel… ,0
237,1,"@SenKamalaHarris @KamalaHarris 

your a fraud , part of the prblm , u ppl have no answers , no solutions , nothing… ",0
241,1,@RealCandaceO @PrisonPlanet @CNN @FoxNews @Bakari_Sellers @donlemon Spoken like good Liberal Democrat’s. Why don’t… ,0
250,1,Great 👍🏾 for them my oldest son is a proud alumnus #UChicago2017 excellent school ❤️,0
264,1,@PhamGray I agree. I also believe  that his use of the bizarre game  “Kindergarten Killers” is a fallicious argumen… ,0
279,1,"As well she should, given that her #FecklessCunt husband sold himself to @VladPutin1, and is just as likely to get… ",0
281,1,#MomentsOfSilenceAreNotHelping #StrengthenGunLaws,0
283,1,@DondestaLaVida @johncampea Ellen Page does just that in Super. It's make believe! Grand Theft Auto lets you have f… ,0
289,1,You’re still on the campaign trail. You always will be. It’s literally the only thing you know. Go live your life i… ,0
307,1,"@HillaryClinton you have no shot in 2020. Your stadium tour will fail just like your book, your fight to be relevan… ",0
308,1,"And socialism/globalism. If they don’t stop, it will be civil war.",0
315,1,i find it amusing how quick liberals are to use or threaten violence against people they don't agree with yet are a… ,0
327,1,@chrisdelia Fox News is as bad as any fake liberal outlet but their point is valid here. If you’re actively advocat… ,0
329,1,@TheRevAl what do you suggest to stop the black on black gun violence? Chicago already has the toughest gun laws in… ,0
340,1,@CharlesPPierce I shudder to imagine the dystopian hellscape of reduced gun violence and Medicare for All.,0
343,1,Great to meet with constituents in Fairlington this evening. They expressed concerns about transportation funding a… ,0
347,1,I can’t explain how angry this makes me,0
369,1,@NoGunsInCanada @wickz2018 @WheelmanRuss @mileslunn @Jasonphilp @ToddWheatley1 @Alzer_One @TL671 @towhey @BillBlair… ,0
378,1,"@MrsDigger Well, as a former teacher of University students I can tell you that teachers are expected to do a lot m… ",0
392,1,@cab8901 @NthingInPrtculr @johncampea Her actual stance on gun violence. ,0
417,1,"@northeast_mama It is my sincere hope that someday we will say one death by gun violence was too many, but we are f… ",0
420,1,"@WulfyPro @EdKrassen @realDonaldTrump Sort of like all the victims of gun violence, ""Thoughts &amp; Prayers"".",0
423,1,"Wary of gun violence, Pennsylvania equips school districts with anonymous-tip app  ",0
428,1,"I'm teaching ""Becoming the Emergency Responder-Basic Emergency Care"" including active shooter preparedness, Stop th… ",0
431,1,"@Katemac37911759 @AS_aka_Lucy @realDonaldTrump @FLOTUS Well he SAID he wanted to solve gun violence, but didn’t, bu… ",0
436,1,"@DondestaLaVida @johncampea Ellen Page does that in the movie Super. In Grand Theft Auto you rob banks, pick up hoo… ",0
441,1,.,0
451,1,"God is definitely on the side of those who treat immigrants with humanity, who protect children from gun violence a… ",0
457,1,@CoryBooker The only reason you want gun control is to deprive citizens with divergent points of view to defend the… ,0
12,1,"You're 40 years in the past. Nowadays your party is violent, hateful, profane, and scary. You could condemn their v… ",0
32,1,@CuomoPrimeTime @ChrisCuomo I@wouldn’t waist your time Chris this administration don’t care about humanity. Has any… ,0
50,1,@jon_burnside is a great councillor. Your vote will not be wasted.,0
64,1,THERE IS AN ACTIVE SHOOTER AT LEE MEMORIAL EVERYONE PLEASE STOP AMD PRAY FOR EVERYONE THERE ESPECIALLY MY BOYFRIEND… ,0
70,1,"Congratulations to the filmmakers that were selected to participate in the AAWIC Anti-Gun Violence tour!!

Filmmake… ",0
79,1,"Why,is right! So proud,and heartbroken right now",0
82,1,middle school? transgender? this world is wild,0
84,1,Whew the lawsuit....,0
96,1,"How about some “thoughts &amp; prayers” for you and your totally-insensitive GOP colleagues, Sen. Rand Paul?

GOP NRA s… ",0
114,1,@ColinAllredTX This guy!!!! #VoteBlueTexas,0
116,1,Active Shooter at Lee Memorial Hospital!,0
118,1,VOTE ❤️❤️❤️❤️❤️❤️❤️❤️,0
122,1,"@fred_guttenberg Gillum would’ve done more for gun violence than Rick Scott did, he only did it to save face. Rick… ",0
137,1,This tea is hot,0
142,1,Just donated. Join me!,0
148,1,Our voices are vital. It's time for us to #Fight4AFuture free from gun violence.  ,0
149,1,Were any of them the family members of the people who died in #Benghazi?,0
167,1,"""""Wells Fargo wants schools &amp;amp; communities to be safe from gun violence, bu... $WFC $WDC $WU news: ",0
177,1,SO YOU PLAY IT SAFE AND THINK NON VIOLENCE WILL KEEP YOU FROM BEING TARGETED BY THE SCUM .. LOLLOLOLLL  .. DON'T BE… ,0
179,1,"@SarahTaber_bww I’m so old, I never had an active shooter drill in school.",0
188,1,"In America, no one cares.  Especially the government.  This is just something to blame gun violence on.  #MentalHealthAwarenessDay",0
206,1,@WazzuCoug94 @peggyturni @SteveScalise ,0
224,1,Support Marc. ,0
232,1,An article involving work by Jim MacMillan! Interesting read on the importance of how gun violence is portrayed… ,0
237,1,@DLoesch @mmpadellan Kind of like saying all democrats should be shot? Didn't hear you complain when one of your bo… ,0
254,1,#Vote,0
267,1,"@hrenee80 ""People"" include women. Think about that: a credibly accused :) gun-running male is advocating violence against women",0
269,1,@kellabeck @claireleber95 @VABVOX Do YOU have any response? Now that I have shown you the reality of the gun violen… ,0
275,1,Inciting violence lock him up!!!,0
279,1,"People just be acting like they care about mental health, drug abuse, gun violence, etc.. like we talk about all th… ",0
294,1,I fucking love this guy. #BlueWave2018,0
309,1,"@SpikeEskin’s David Hogg scouting breakdown, terrific body some serious upside if he spends less time trying to hal… ",0
311,1,,0
318,1,And while you have personal armed guards you want to prevent those people from protecting themselves making you the… ,0
319,1,"@eplacentia @atrupar And what does one disturbed man, who up until that point had been a ""responsible gun owner,"" h… ",0
320,1,WITH THE OTHER KIDS ???? UHHH,0
331,1,"Please please let me run into Gun Runner Holder, he will need a bag of ice!",0
334,1,This is SO much to unpack about this and I am furious about all of it.,0
336,1,Focusing on Gun Violence is out!  Stories via @NBCNews #worldmentalhealthday #metoo,0
343,1,Virginia school allegedly barred trans student from active-shooter drill  via @nbcnews,0
369,1,"“When they go low, we kick them.”

Eric Holder, former Obama DOJ AG of Fast &amp; Furious gun running game, who has sai… ",0
371,1,"@obinson I am always amazed by those who attack the NRA for advocating gun rights, but stand in unity with the Holl… ",0
372,1,"Thanks for the shout out on #WorldMentalHealthDay, @BillClinton! We look forward to working with you and… ",0
377,1,@WhySoAngryz @philthatremains @HooDusay @thehill The truth for me is that my daughter is dead from gun violence.  N… ,0
380,1,@ACLU @kathryn_erbe @them ,0
394,1,We took the Active Shooter trainning today  it is better to be prepared.,0
407,1,First yes I'm #home on #fall #break..this #video right here is #devestating when a #baby is #crying because she doe… ,0
410,1,For God’s sake please get educated before spewing any more of this excrement. ,0
415,1,@jean_e_s @SteveScalise This is proof you are dumb...gun violence?? Ha!,0
433,1,#WeWantWallace,0
4,1,@realjohnwalker @NFL @NFLOfficiating Almost as bad as threatening gun violence ,0
7,1,@DLoesch The NRA promotes racism and violence. You guys make responsible gun owners look bad.,0
10,1,@w_terrence @WhitleyNancy So a black man goes to the White House to have lunch with the President to talk about pri… ,0
12,1,If y’all don’t go out and vote next month we’re all gonna either A) die from a mass shooting or B) die from famine… ,0
17,1,"One of these candidates looks checked-out, huh?",0
30,1,Sexy active shooter,0
46,1,,0
47,1,Eric Holder was! And he was not good at it either. Congress held him in contempt for failure to produce documents r… ,0
67,1,You’ve got to be kidding me? Do y’all really separate boys and girls during a fucking lockdown drill,0
87,1,🤔👏🏼👍🏼,0
97,1,Very Wise words - a well armed militia - not government employees is its Citizenry- This is why I have a lot of res… ,0
100,1,You know it! God Bless those parents.,0
107,1,#guncontrolnow,0
116,1,Thread:,0
138,1,Yes! @Morse4America is a #GunSense Candidate. She believes that #GunSafety is #CommonSense and not a run on our 2nd… ,0
165,1,😭😭😭😭😭😭😭they wrong af just put his ass somewhere,0
168,1,why is there even gender assigned safe spots for an active shooter situation?,0
184,1,"Suicide, sexual assault, hookers, drugs, gun violence....sis wayyyyy too much",0
187,1,@KamalaHarris Using gun violence to raise money? That’s the Democrat way.,0
188,1,"@officialDannyT why do you wield massive machetes and kill tons of people in MACHETE, despite being against violenc… ",0
203,1,what does gender have to do with if somebody is shooting ? Just asking... smh,0
210,1,#MarciaBlackburn voted yes on bills introduced to protect citizens from gun violence. Look &amp; read her record vs opp… ,0
213,1,Remember these words when you vote!,0
217,1,"@Pooch1431 @Yakmene1 @nprpolitics @NPR To be fair leftists do support:
Socialism
Gun confiscation
Censorship
Aborti… ",0
229,1,your immediate response to anybody who mentions gun control is swinging around your big girl gun on a college campu… ,0
241,1,"Beware leftists claiming that they are merely ""anti-gun violence"".  It's the new euphemism for gun control aka taki… ",0
250,1,Coins please,0
253,1,@stacydavisgates ,0
258,1,@HillaryClinton @ColinAllredTX @JenniferWexton @RosenforNevada @wildforcongress @Lizzie4Congress @joshua_harder… ,0
261,1,Why dont you ask the Democrat leaders of your community?,0
274,1,"You would shelter her with the good guys, unless she was the active shooter, then she’s the bad bad guy.",0
308,1,@GhostlyRiderBeo Most that I know that carry legally avoid confrontation because he needs all the bs. but when the… ,0
320,1,"The real issue is that they would this same thing during an actual active shooter situation. A whole CHILD, a LIFE,… ",0
341,1,"@CommonMadgeFan @Madonna Loved this video and song. I remember her being discussed in the press, yet again, for beg… ",0
355,1,"Move to Russia! It’s SO much safer, those fffing Liberals",0
368,1,#guncontrol #SaveLives #MentalHealthDay2018 #anti-nra #GunControlNow #gunreformnow ❤️,0
378,1,who? where? I just wanna talk,0
379,1,Trump: #Chicago Police Should Use ‘Stop and Frisk’ to Curb Gun Violence  ,0
397,1,Transgender student’s treatment during active shooter drill blasted #gay #LGBTQ #trending #pride ,0
25,1,#Vote,0
26,1,idc what ur political views are u kno this is shitty,0
36,1,"Las Vegas News Reno awarded $1.7M to address opioids, gun violence  ",0
42,1,@heeiijn um...... idk what ur talking abt id never use violence. or a gun or a nail bomb,0
43,1,Facts only ..stop spreading lies @lilomatic,0
57,1,"We continue to be divided and distracted from truly important issues like Trump tax schemes, Russian meddling, heal… ",0
61,1,@RealCandaceO It is not irrelevant how many people died from  gun violence. It is quite consequential. The media di… ,0
81,1,"@rosemontphx Hoooooold on. Imma disagree with that. I personally am an independent, in terms of politics, but this… ",0
87,1,If we had #HRC as POTUS/ life would be SOOOO much better!,0
89,1,"For those who think stricter gun laws will miraculously end gun violence, heed the words of Seneca:

""A sword never… ",0
99,1,Congrats @daniadams91 and colleagues! Pretty awesome to get a shout out from @BillClinton! Keep up the good work an… ,0
103,1,@67ShelbyGT500E @MatthewLillard That's incorrect. Though i do agree nra sucks in some areas. However they don't adv… ,0
117,1,🤬,0
121,1,@AlamoOnTheRise @GunDeaths There were 23 school shootings in 2018 so far. 60% of people who commit suicide do it wi… ,0
123,1,@cameron_kasky Cameron I have worried for quite awhile that you must be going on fumes... you and all the others wh… ,0
176,1,GET  A  ROPE,0
189,1,@Dictionarycom @SethMacFarlane True but I wish Hollywood would address honor culture/violence grievence culture. Th… ,0
208,1,"DISGRACEFUL HOLDER. WHO SHOULD be
CHARGED with MURDER... FAST &amp; FURIOUS ..",0
232,1,"@StatehouseChick according to Bruce Rauner today, rolling back prevailing wage to reduce wages could lead to increa… ",0
247,1,"At any rate, it's a damn lie. The number of undocumented immigrants has been dropping for the past eight years as g… ",0
283,1,"@Amy_Siskind What about this one in CT?
",0
286,1,@yagbebi @Pontifex This implies that knowledge and understanding of a topic cannot be obtained without personal exp… ,0
288,1,Is it just me or do they look like they could be related?,0
311,1,"Vic Mensa was right about XXXtenacion. That man was trash as a human being. Yeah, it sucks he died in gun violence,… ",0
317,1,#VoteBlue and stop gun violence!!,0
320,1,@ohshiitake @DemonicLyrics @danceswithkodos @Jake_Walker77 @i_am_fineapple @Gaidheal_Alaska @KaitMarieox Using term… ,0
325,1,Y'all.... Check THIS out,0
329,1,"With a name like rand, she must be nuts",0
330,1,Chicago gotta deal with gun violence and a dookie bandit? Smh.,0
4,1,"@davidhogg111 there have been many of walkouts in protest of gun violence, i think it's only fitting to have simila… ",0
6,1,BICH WHAT THE FUCK /TW/ gun violence,0
19,1,,0
35,1,I’m confused?? Is this implying that they were separating the students between boys and girls?? DURING?? an ACTIVE.… ,0
46,1,"so anyway if you want more violence and MOB rule, and gun running holder, and benghazi for our military, and politi… ",0
61,1,"👇Eric Holder promotes hate &amp; violence.
Obamas buddy &amp; ex gun runner. Fast &amp; Furious!",0
81,1,"Her, so she’s a girl, therefore place her with girls?????",0
86,1,@Vintage1983V @jasonsfolly Youth and townspeople murderer. Fixing games of football even though you were a hero to… ,0
108,1,Active Shooter Training Hosted by CALCO Chamber of Commerce | weactv24 ,0
116,1,Tech Girl Rewind:  Our Kids Should Not Have to Deal with Fear of Gun Violence ,0
160,1,Hey at least it wasn’t a gun violence related death,0
173,1,"Oh my, the privileged dear. #crazy 
#BlueWaveisHere #BeKind",0
185,1,"Another annual ""active shooter training"" completed.  That's like number 16 or 17 in my lifetime. How in the fuck is… ",0
192,1,Wait WHAT?!!,0
241,1,"@CHERRYWlNE No gun violence, just female anger and flying fists 😊",0
242,1,Southwest Division responding to 'DASF-Dist Active Shooter Foot' at 7900 blk Glenway Dr | Beat 435 |  | 00:04,0
256,1,"Don’t even make this a trans issue. Like, seriously?? Safety above all else when you’re dealing with children. It’s… ",0
0,1,"If you've ever watched Forensic Files or ANY show on ID Discovery, you know how this will prolly end.",0
11,1,"@FoxNews It's a monster movie, assholes. They use every kind of weapon they can imagine. It's make believe. More th… ",0
21,1,There is a darker motif at play when gun violence is attributed to mental health in the US. #WorldMentalHealthDay… ,0
22,1,if she identifies as a girl then you put her with the rest of the fucking girls it’s not that ducking hard,0
63,1,Vote for @MikeLevinCA #CA49 ✅✅✅✅,0
68,1,"More truth serum 
Thank you Tiff",0
80,1,"@nnedv #Domesticviolence crosses state lines, so should domestic violence gun laws  by… ",0
87,1,What on fucking earth,0
88,1,Ruining your game for every type of players they aren’t shooter. Y’all pretty much nerfed slasher tontgr ground. Bi… ,0
93,1,4 Injured By Active Shooter In Wisconsin Suburb  #newh,0
98,1,I cannot believe what I'm fucking reading W T F AMERICA,0
126,1,What the fuck???,0
151,1,Says the girl holding a gun,0
152,1,@HillaryClinton @GovHowardDean @ChrisMurphyCT @timkaine Done! Thanks for always caring. Gun violence must end Now b… ,0
166,1,Holder is an American Democrat and Bolshevik from the Barry Obama administration so what do you expect ?,0
171,1,@realDonaldTrump,0
173,1,What Bullets Do To Bodies  via @Highline,0
195,1,Please stop gun violence,0
197,1,"Michael Flynn Jr. is right. 

Rand Paul’s wife sleeps with a loaded gun by her bed. 

Steve Scalise almost lost his… ",0
201,1,@grafikalrob you still insist that legal gun. ownership isn't the cause of gun violence. despite the fact that in e… ,0
204,1,Southwest Division responding to 'DASV-Dist Active Shooter Veh' at 6600 blk Cedar Shadow Dr | Beat 435 |  | 01:27,0
212,1,"So lemme get this straight... in order to be pro-woman, anti-rape, etc., I have to completely ally with and don the… ",0
214,1,"@Falatoot @tracey_baker @Scarfulhu Those who scream the loudest about gun control &amp; the violence in this country, p… ",0
234,1,IT REALLY PISSES ME OFF WHEN SCHOOLS CAN’T EVEN PROTECT THERE TRANS STUDENTS AND THEN THEY PERPETUATE VIOLENCE BY D… ,0
1,1,"@hollowsfate @MatthewLillard If they were about non violence, they'd restrict guns from the public, making them har… ",0
16,1,Some of the most painful and rewarding conversations I have had on the campaign trail were with parents who had los… ,0
24,1,"@thetestes2 Uhh trump
Gun violence
My existence",0
59,1,Exclusive: Survivor Sunday: Faith and Action in the Wake of Gun Violence ,0
69,1,"Join me, ChrisMurphyCT, TimKaine, and a host of Democratic senators and gun violence prevention organizations to he… ",0
90,1,"@SpeakerRyan @ICEgov Because obviously Billions for useless Border Wall, Education Cuts, Medicare, Tariffs, EPA rev… ",0
105,1,"@SarahKSilverman Hey Sarah, it's the height of hypocrisy that Hollywood LOVEs to profit off gratuitous gun violence… ",0
118,1,@Tmann72687526 @Tulli_ToolBox @old_warrior1 @AdamPiersen @RancherHills @XeroSpaceOmega @AlecA82475839 @nowthisnews… ,0
133,1,"Hey, Fox News! So, Halloween is a horror movie - it’s totally pretend.  Nobody who goes to see it thinks it is real… ",0
167,1,@hollowsfate @MatthewLillard If you take away guns (which isn't what gun control is or common sesne gun laws are by… ,0
190,1,@meldatugan He shouldn’t have to have nightmares about shooting drills and shooting drills shouldn’t even be a thin… ,0
201,1,"Did I hear right?   There are school ‘active shooter’ video games ?????                 

...We out our minds",0
216,1,"Treasonous Eric Holder (""Fast &amp; Furious"" drug cartel gun-running), promotes 'New' Dimocrat Party platform, ""Justifi… ",0
220,1,Hey Sarah if she hated guns so much she wouldn’t have  taken the job. She is glorifying guns as a tool to use for… ,0
242,1,Joke,0
13,1,Are yall really worried about the “right bathroom” for kids to go in to when there is a person with an actual gun t… ,0
49,1,"On Monday, Sept. 10, every UH Hilo student, faculty member, and staffer received the following alert: “UH Hilo has… ",0
106,1,"@FoxNews If she had advocated for censoring gun violence in entertainment, you might be on to something. As it is,… ",0
119,1,Did I fucking read this correctly. Everyone should loose their job fuck that,0
125,1,"@BentTailXEyes @NRA @NRAILA @SenatorTester @jontester @chrismeagher Ah, that old chestnut. That one keeps coming up… ",0
126,1,@SarahKSilverman What a hypocritical pig Sarah/Hollywood are (both are Jewish). You shouldn't have guns but we will… ,0
138,1,More gun banners.,0
163,1,Wow this is fucking enraging,0
189,1,"Domestic Violence incidents are still one of potentially most dangerous for police to attend, imagine if he had a k… ",0
194,1,Wow😳~A 28-year old MAYOR OF STOCKTON CA:  @MichaelDTubbs is turning the City from poverty and gun violence to a cit… ,0
217,1,"The GOP is a party of white people who are completely paranoid, fearful and afraid.",0
4,1,"🌹Greetings to Dear Mrs.@HillaryClinton 🌹

Please, as a #politician , 🌹#Stop gun violence in the #MiddleEast 🌹becaus… ",0
22,1,just like @jrothenbergtv decided to tweet pictures of his characters specifically holding &amp; pointing guns on March… ,0
25,1,"... military, do not need more tax cuts for billionaires or more deregulation of the markets !!! What the US need i… ",0
41,1,Who is Holder going to kick? Does he realize Obama is not President? He advocates violence. Like Maxine Waters!  An… ,0
58,1,3. Blocking people from seeking shelter in their own locker room while in an active shooter drill because they're t… ,0
74,1,Her husband was attacked in his own yard and they have received death threats so I don't blame her even a little bi… ,0
86,1,Funny because liberals are generally against using violence and owning a gun,0
104,1,Shooter: where’s all your classmates?                                          ?girl/boy?: idk fam it’s just me out… ,0
129,1,"Yes it is, however psychopath is an understatement",0
172,1,@SarahKSilverman I love how these chuckleheads equate gun control to gun prohibition. There can be common sense law… ,0
203,1,📹 HOT NEW MUSIC VIDEO -  Chief Keef Honors Chicago Victims To Gun Violence In New “Chiraq” Video With... ,0
213,1,"Mighty pen silenced by Gun of violence.
#manan wani#....@naveedul_haq",0
216,1,"GOOD, defend yourself Hon, THE corrupt DOJ, FBI seem 2 HAVE lost THEIR way under AG Sessions, Asst. AG &amp; TRAITOR, R… ",0
224,1,I’m jealous af that the UK doesn’t have a gun violence problem,0
10,1,"@HillaryClinton 
@RepMaxineWaters 
@SenBooker 
@AGLynch 
@EricHolder 

You are so against gun violence yet tell you… ",0
54,1,"@lottelydia As a man, I think the issue is not focusing on the mental illness of the person inappropriately engagin… ",0
115,1,A Va. school district superintendent apologized to a transgender middle schooler who was barred from using the boys… ,0
125,1,"@RealJamesWoods The gun runner promoting violence, is there a pattern here? Asking for a friend.",0
127,1,Losing a child or a loved one to gun violence.,0
145,1,@T4tacticsLLC Glad to see you do active shooter response training by the way. There needs to be more people like th… ,0
205,1,"DAILY WAKE UP CALL: ⏰ 

Good morning family! 

This is a great day to fight against social injustice, racism, inequ… ",0
210,1,WATCH: Newly Released Video Shows Armed Bystander Take Out Active Shooter at Walmart  via @breaking911,0
225,1,"the people trusted to protect them left them out to die. if that was a real active shooter and not just a drill, yo… ",0
241,1,Daily reminder @RepMcKinley @EvanJenkinsWV @RepAlexMooney and @SenCapito sold out West Virginians on health care-AN… ,0
246,1,"@FoxNews I would think there is some correlation between Hollywood Gun -action movies, and teens shooting up school… ",0
251,1,Hope you have learned from your mistake of dining with this murderous,0
269,1,AND children in schools across the country are still practicing active shooter drills #VoteBlue young people for fo… ,0
5,1,The real truth about American Gun Violence and who does it ,0
14,1,"He clearly has his eyes on the prize of bringing positive change and reducing gun violence in his hometown, and bri… ",0
16,1,These idiots actually think they can win elections with talk like this. Holder is not the first. It began with his… ,0
18,1,@philthatremains @fred_guttenberg @thehill @SteveScalise The correct answer is to point out when politicians are be… ,0
27,1,,0
34,1,@KamalaHarris KH....NEVER strip away out 2nd amendment rights.  If you want to reduce criminal violence (with gun o… ,0
44,1,"New alert created

Type: Hold
Building: Elementary school
Reason: Active Shooter
Location: 
Notes: 
Time:10/11/2018 7:21 AM",0
46,1,"Domestic Violence Law Renewal Full of Leftist Statutory Devices, Restricts Gun Rights  via @JudicialWatch",0
75,1,NEWS: Rev. Charles Harrison and @Indytenpoint will be in Cleveland tomorrow to launch the Cleveland Ten Point Coali… ,0
148,1,I just think about my son when i see somebody been shot or killed.. i don’t want joziah to be the shooter nor do i… ,0
154,1,Big day tomorrow Friday October 12th @Indytenpoint will be in Cleveland to train &amp; launch the Cleveland Ten Point C… ,0
184,1,@ScottWallacePA Thank YOU for being strong on gun violence prevention! We know a TRUE champion of GVP when we see and hear one!,0
186,1,@RealJamesWoods The only thing Antifa will accomplish with their threats of violence to the right will be s spike i… ,0
197,1,No one is immune from active shooter/workplace violence | Gun Sense | United States | Workplace Violence Prevention… ,0
204,1,Lmao!!!,0
211,1,🙄😒....please ✋🏻,0
213,1,IT WOULD HAVE TO BE ONLY A CROOK WOULD BRING A CROOK LIKE THIS INTO THE PICTURE. OBAMA!,0
226,1,@CoryBooker And no one s saying anything about the violence in Chicago! All Democrat with toughest gun laws in the country! Hmmmm!,0
243,1,You should be paranoid about the fact that you're married to a soulless treasonous corrupt lying craven scumbag you… ,0
266,1,"#Dr Manan Wani in his article...
👉Resistance is resistance; it can neither be peaceful nor violent. In fact, violen… ",0
280,1,"If you know anything about WWII and Germany, you quickly recognize the similarities between what these Morons are o… ",0
302,1,#ISurvivedGunViolenceWhen I was just 11 years old when my young cousin got ahold of a gun. We played with the gun &amp;… ,0
309,1,And a terrorist!,0
